x,y,z,code,name,river,start,end,dens,Q95_01,Q95_02,Q95_03,Q95_04,Q95_05,Q95_06,Q95_07,Q95_08,Q95_09,Q95_10,Q95_11,Q95_12,lambda
-68.1478,-16.4492,3952,Achachicala,ACHACHICALA,Rio Kaluyo,1980,2018,3.834877843302443,0.398,0.409,0.374,0.162,0.109,0.098,0.074,0.098,0.098,0.124,0.150,0.178,8.528859047352528e-06
-68.09428,-16.560055,3000,Aranjuez,ARANJUEZ,Rio Choqueyapu,1990,2018,0.9450757575757576,3.645,4.276,3.374,2.803,2.007,1.940,1.768,1.725,1.845,2.099,2.577,2.939,1.8155974789164958e-06
-65.5847,-10.5372,120,CachEsperanz,CACHUELA ESPERANZA,Rio Beni,1981,2018,0.9997066373303997,9773.800,12284.000,11790.000,8721.950,5724.600,3856.700,2860.300,2163.250,1841.950,2249.700,3406.000,5520.800,1.3744748418993775e-09
-64.86428,-15.336275,150,Camiaco,CAMIACO,Rio Mamoré,1986,2018,0.9948506694129763,1721.550,2227.600,2684.900,2345.350,1436.550,841.010,620.960,390.160,262.120,303.155,577.320,949.750,1.8271437005755412e-09
-68.07689,-16.482195,3420,Chicani,CHICANI,Rio Kallapa,1977,2018,0.9404507868765004,0.509,0.672,0.598,0.338,0.222,0.164,0.154,0.157,0.165,0.195,0.236,0.304,9.406929117583515e-06
-65.342766,-10.812504,120,Guayaramerin,GUAYARA MERIN (Lado Boliviano),Rio Mamoré,1983,2018,1.0000777302759425,5218.400,8544.000,11352.000,11914.500,8789.600,4869.350,2031.200,1118.200,853.150,721.400,1110.800,1972.000,1.77116190975637e-09
-65.00322,-12.804334,136,PtoSiles,PUERTO SILES,Rio Mamoré,1983,2018,0.9986827832016116,3611.900,5094.550,6740.200,6539.300,4142.300,2209.350,1086.600,774.950,625.865,607.750,924.470,1447.800,2.5496494778718785e-09
-64.791985,-16.836872,,PtoVillarroe,PUERTO VILLARROEL,Rio Ichilo,1985,2018,0.9916824507946965,311.050,302.980,300.500,268.240,176.760,122.035,110.770,87.436,79.034,83.344,111.910,169.960,2.444205055731712e-08
-66.062584,-10.99347,122,Riberalta,RIBERALTA,Rio Beni,1983,2018,0.9993647264353213,8396.600,10821.500,10953.000,7616.750,4633.550,3359.800,2428.000,1917.650,1728.900,2034.800,3219.800,4527.200,1.1160218328514418e-09
-67.53496,-14.440908,,Rurrenabaque,RURRENABAQUE,Rio Beni,1967,2016,0.9994987189484238,1652.000,2108.200,1882.800,1244.000,798.870,565.345,436.830,318.180,341.535,494.695,695.180,992.780,7.615269411852241e-09
-67.6908,-15.692361,550,SantaRita,SANTA RITA DE BUENOS AIRES,Rio Coroico,1976,2018,0.9571837584591358,209.450,232.460,194.865,144.160,78.637,54.642,41.927,38.968,38.486,54.222,82.230,122.400,5.294458967551522e-08
