Start,End,Dvol,LFI
1998-01-13,1998-01-22,7824.7815176434015,0.014106215286618484
1998-02-09,1998-02-15,451860.5012335093,0.5597430683217454
1999-01-21,1999-02-03,481416.6675421685,0.582745481766283
2001-09-23,2001-10-04,16819.276119847094,0.030075490062963506
2002-12-10,2002-12-26,713608.5278094484,0.7262734993811018
2004-03-05,2004-03-23,523005.737366495,0.6130918289516485
2007-06-12,2007-07-07,498568.95364917564,0.5955392316962533
2007-07-19,2007-10-22,1245580.6295536587,0.8958031156524127
2007-11-05,2007-11-18,463927.72126525885,0.5692838545661751
2008-05-06,2008-05-22,173372.47083926934,0.27004662808538193
2008-10-30,2008-11-15,746009.615655083,0.741911615573837
2009-02-16,2009-02-26,732876.5692976972,0.7356837170860264
2009-03-30,2009-04-11,130146.25947692065,0.21045087207898838
2010-04-15,2010-05-19,828478.2018602318,0.777801229397669
2010-06-10,2010-06-20,3111.0752169814914,0.0056325377620936035
2010-07-08,2010-08-30,172534.7775033894,0.26893558716468857
2010-09-16,2010-10-08,133175.77272997625,0.21478176794801485
2010-11-20,2010-11-27,311774.62904912216,0.4322404233934075
2010-12-07,2010-12-22,603073.8391091563,0.6654400998946707
2011-01-01,2011-02-04,1921839.5740820284,0.9694773755645201
2011-12-02,2011-12-10,212198.65026339068,0.3197312473774694
2013-01-19,2013-01-25,829094.3654211471,0.7780496652859225
2013-03-01,2013-04-15,2140479.236954631,0.9794778134284334
2016-11-25,2016-12-03,19785.783306030942,0.03528544399801814
2017-02-08,2018-01-24,409008.2680866063,0.5241222951733335
